intermediate_graph_degree,graph_degree,itopk_size,search_width,max_search_iterations,total_vectors,total_queries,build_time_seconds,best_batch_size,avg_query_latency_ms,queries_per_second,recall,used_filter,initial_gpu_memory_percent_used,post_build_gpu_memory_percent_used,memory_increase_build_gb,rating_filter
32,32,32,1,0,5000000,10000,24.005911588668823,10,0.0009637594223022468,14000.008796351196,0.85709,True,0.9290613875141096,3.586003299470348,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,32,2,0,5000000,10000,24.073552131652832,10,0.0009728026390075683,13960.348460059755,0.85782,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,32,4,0,5000000,10000,24.058530807495117,10,0.0009513211250305178,13932.914824742376,0.85706,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,32,8,0,5000000,10000,24.11110782623291,10,0.0009571933746337887,13843.873498131961,0.85762,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,32,16,0,5000000,10000,24.09427809715271,10,0.0009648323059082038,13929.183042295315,0.85666,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,32,32,0,5000000,10000,24.098512172698975,10,0.0009667396545410137,14014.765430422085,0.85671,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,32,64,0,5000000,10000,24.116851091384888,10,0.0012572860717773434,11358.660247256063,0.89387,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,1,0,5000000,10000,24.07170271873474,10,0.0011678838729858396,11460.419465552106,0.88689,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,2,0,5000000,10000,24.09162187576294,10,0.0011691808700561518,11343.102307678402,0.88598,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,4,0,5000000,10000,24.13784956932068,10,0.0011488914489746122,11436.846222813467,0.88602,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,8,0,5000000,10000,24.095227241516113,10,0.001123080253601074,11428.048507891106,0.88552,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,16,0,5000000,10000,24.098222970962524,10,0.00110079765319824,11479.484306305285,0.88554,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,32,0,5000000,10000,24.14642906188965,10,0.0011796665191650402,11373.303601413292,0.88617,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,64,64,0,5000000,10000,24.06437659263611,10,0.0011679077148437494,11335.266529956267,0.89384,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,1,0,5000000,10000,24.116369247436523,10,0.0012689495086669923,10918.003711218294,0.91808,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,2,0,5000000,10000,24.150452852249146,10,0.0012874102592468277,10931.444771874436,0.9172,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,4,0,5000000,10000,24.08444046974182,10,0.001284980773925781,10947.460956888914,0.91758,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,8,0,5000000,10000,24.091644287109375,10,0.0012738943099975587,10961.836870395015,0.91812,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,16,0,5000000,10000,24.122623920440674,10,0.0013369631767272904,10837.01615781274,0.91765,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,32,0,5000000,10000,24.112399339675903,10,0.0012834644317626948,10929.236208528744,0.91766,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,128,64,0,5000000,10000,24.109995126724243,10,0.0012862253189086913,10933.69469081671,0.91763,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,256,1,0,5000000,10000,24.077939748764038,10,0.0013655424118041966,10451.863514136627,0.9439,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,256,2,0,5000000,10000,24.09548258781433,10,0.0013892650604248047,10374.574331256037,0.94487,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
32,32,256,4,0,5000000,10000,24.083380937576294,10,0.001359543800354003,10465.117015323747,0.94385,True,0.9334027958669793,3.590344707823218,2.6569419119562383,"1.0-2.0, 2.0-3.0"
