M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
16,32,8,5000000,10000,17.055513620376587,0.3569967746734619,0.026168847084045405,20127.186043052436,100,0.18016,2.0,2.1,1.5055122375488281
16,32,16,5000000,10000,17.241085290908813,0.3694746494293213,0.026736462116241474,20041.79290488049,100,0.26808,2.1,2.4,1.212310791015625
16,32,32,5000000,10000,18.546343326568604,0.38472628593444824,0.0279526424407959,19779.677188444188,100,0.36243,2.1,2.4,1.21197509765625
16,32,64,5000000,10000,18.779913902282715,0.41068410873413086,0.02847803831100464,19439.399904450656,100,0.45682,2.1,2.4,1.2120094299316406
16,32,128,5000000,10000,18.687560558319092,0.4626753330230713,0.02983170747756958,18727.577830872273,100,0.54504,2.1,2.4,1.212005615234375
16,32,256,5000000,10000,18.69095730781555,0.5439491271972656,0.03081354379653931,17807.980650407066,100,0.62122,2.1,2.4,1.212005615234375
16,32,512,5000000,10000,18.653005361557007,0.7111737728118896,0.035606613159179665,16099.48941667128,100,0.68174,2.1,2.4,1.2120018005371094
16,32,768,5000000,10000,18.648256063461304,0.9071447849273682,0.040005211830139165,14513.263136641855,100,0.71006,2.1,2.4,1.212005615234375
16,32,1024,5000000,10000,18.75455069541931,1.0807075500488281,0.04170045852661133,13380.584944848068,100,0.72945,2.1,2.4,1.2120132446289062
16,64,8,5000000,10000,35.86294937133789,0.3591933250427246,0.026239991188049316,20227.946767187415,100,0.22771,2.1,2.4,1.2120018005371094
16,64,16,5000000,10000,36.00290393829346,0.36974310874938965,0.02753532409667968,20138.94534663714,100,0.32572,2.1,2.4,1.2120018005371094
16,64,32,5000000,10000,36.054752349853516,0.38893628120422363,0.02745455741882324,19919.506462313362,100,0.4316,2.1,2.4,1.2123031616210938
16,64,64,5000000,10000,34.648526191711426,0.4247910976409912,0.028695650100708008,18947.42420376341,100,0.53597,2.1,2.4,1.2121391296386719
16,64,128,5000000,10000,30.867547273635864,0.4805891513824463,0.030717883110046387,18227.717281510722,100,0.62231,2.1,2.4,1.2120437622070312
16,64,256,5000000,10000,32.16484999656677,0.5668094158172607,0.032529425621032705,17596.034228343262,100,0.6915,2.1,2.4,1.2122116088867188
16,64,512,5000000,10000,33.87075352668762,0.7810120582580566,0.037242760658264144,15358.528649727596,100,0.74706,2.1,2.4,1.2121734619140625
