M,efConstruction,efSearch,total_vectors,total_queries,build_time_seconds,search_time_seconds,p99_latency_ms,queries_per_second,batch_size,recall,initial_memory_gb,post_build_memory_gb,memory_increase_build_gb
16,32,8,5000000,10000,18.10389733314514,0.36548924446105957,0.02793717861175537,19703.674863366847,100,0.24976,2.1,2.2,1.50506591796875
16,32,16,5000000,10000,16.629501342773438,0.37876009941101074,0.02813238143920898,19597.758556992812,100,0.34509,2.2,2.4,1.2120933532714844
16,32,32,5000000,10000,16.76141119003296,0.40228796005249023,0.028238525390625012,19554.34948077005,100,0.4361,2.2,2.4,1.212005615234375
16,32,64,5000000,10000,16.740868091583252,0.4371657371520996,0.02942060947418212,19121.315091446188,100,0.52786,2.2,2.4,1.2120094299316406
16,32,128,5000000,10000,16.636568069458008,0.4631221294403076,0.029122638702392574,18656.637997157555,100,0.60222,2.1,2.4,1.2120018005371094
16,32,256,5000000,10000,16.610852241516113,0.5453801155090332,0.03225157260894775,17690.731406841514,100,0.66362,2.1,2.4,1.212005615234375
16,32,512,5000000,10000,16.54851460456848,0.7147901058197021,0.03576631784439086,15901.94800966901,100,0.71418,2.1,2.4,1.2120018005371094
16,32,768,5000000,10000,16.67960023880005,0.8993024826049805,0.0393965721130371,14379.642434637492,100,0.73765,2.1,2.4,1.2120094299316406
16,32,1024,5000000,10000,16.67956256866455,1.0650944709777832,0.040215885639190666,13215.315869065995,100,0.75394,2.1,2.4,1.2120094299316406
16,64,8,5000000,10000,34.933692932128906,0.3827040195465088,0.02679586410522461,19972.883795391368,100,0.31743,2.1,2.4,1.212005615234375
16,64,16,5000000,10000,35.96346640586853,0.37410855293273926,0.02737264633178708,19878.831265941302,100,0.42114,2.1,2.4,1.21209716796875
16,64,32,5000000,10000,31.378846883773804,0.3960258960723877,0.027779173851013174,19676.95458878804,100,0.52675,2.1,2.4,1.2120094299316406
16,64,64,5000000,10000,31.153923273086548,0.43131351470947266,0.02838283538818358,19086.17523247289,100,0.61425,2.1,2.4,1.2117538452148438
16,64,128,5000000,10000,31.666275024414062,0.4714202880859375,0.029708790779113762,18678.640950683966,100,0.67851,2.1,2.4,1.2120018005371094
16,64,256,5000000,10000,32.36165261268616,0.5762820243835449,0.032797107696533205,17479.7365905946,100,0.73412,2.1,2.4,1.2122268676757812
16,64,512,5000000,10000,35.84602880477905,0.7822144031524658,0.03542527198791504,15495.843162512207,100,0.77031,2.1,2.4,1.2122268676757812
16,64,768,5000000,10000,33.606170892715454,0.9912972450256348,0.0399554967880249,13481.618973957455,100,0.78994,2.1,2.4,1.2123146057128906
16,64,1024,5000000,10000,32.343854904174805,1.1704025268554688,0.04374246120452882,12494.820917758685,100,0.80022,2.1,2.4,1.2120018005371094
16,128,8,5000000,10000,69.07214760780334,0.4625399112701416,0.02733476877212523,20140.630658012426,100,0.35359,2.1,2.4,1.2120018005371094
16,128,16,5000000,10000,71.37197780609131,0.4692509174346924,0.026981906890869146,19515.38094909719,100,0.46707,2.1,2.4,1.2118186950683594
16,128,32,5000000,10000,63.26189994812012,0.4270000457763672,0.028864288330078123,19590.70419467444,100,0.56941,2.1,2.4,1.2118377685546875
16,128,64,5000000,10000,68.170574426651,0.42905592918395996,0.028721876144409166,19131.054204386674,100,0.65809,2.1,2.4,1.2118721008300781
